Record ID,Company Name,Revenue Range (in USD),Employees,Company City,Company State,Company Country,Primary Industry,Website,Company HQ Phone,Founded Year,Full Address
1000,Innovative Inc,$10 mil. - $25 mil.,82,Charlotte,North Carolina,United States,Healthcare,www.innovativeinc.com,(954) 304-9935,1975,"9774 Corporate Dr, Charlotte, North Carolina, 14165, United States"
1001,Global Corp,$5 mil. - $10 mil.,39,Raleigh,North Carolina,United States,Retail,www.globalcorp.com,(227) 774-4257,2015,"9028 Corporate Dr, Raleigh, North Carolina, 38893, United States"
1002,Fusion Group,$10 mil. - $25 mil.,21,Henderson,Nevada,United States,Education,www.fusiongroup.com,(363) 914-7924,1991,"4652 Oak Ave, Henderson, Nevada, 38221, United States"
1003,Momentum Corp,"$500,000 - $1 mil.",7,San Antonio,Texas,United States,Business Services,www.momentumcorp.com,(552) 818-5333,2021,"811 Corporate Dr, San Antonio, Texas, 80284, United States"
1004,Innovative Systems,"$500,000 - $1 mil.",9,Denver,Colorado,United States,Government,www.innovativesystems.com,(843) 833-6925,2006,"3250 Main St, Denver, Colorado, 16006, United States"
1005,Apex Enterprises,$10 mil. - $25 mil.,40,Charlotte,North Carolina,United States,Government,www.apexenterprises.com,(303) 589-5554,1999,"6077 Oak Ave, Charlotte, North Carolina, 58520, United States"
1006,Velocity Ltd,Over $5 bil.,39993,Santa Ana,California,United States,Agriculture,www.velocityltd.com,(899) 863-2169,2008,"2903 Tech Way, Santa Ana, California, 42087, United States"
1007,Future Technologies,$50 mil. - $100 mil.,238,Bakersfield,California,United States,Transportation,www.futuretechnologies.com,(770) 424-6313,2023,"1016 Oak Ave, Bakersfield, California, 14207, United States"
1008,Synergy Systems,$10 mil. - $25 mil.,36,Columbus,Ohio,United States,Agriculture,www.synergysystems.com,(780) 935-6155,1983,"8279 Corporate Dr, Columbus, Ohio, 94259, United States"
1009,Pioneer LLC,$10 mil. - $25 mil.,55,Fort Worth,Texas,United States,Transportation,www.pioneerllc.com,(774) 751-5304,2017,"9677 Corporate Dr, Fort Worth, Texas, 86484, United States"
1010,Vista Solutions,$5 mil. - $10 mil.,27,Raleigh,North Carolina,United States,Telecommunications,www.vistasolutions.com,(293) 973-1771,1977,"2604 Oak Ave, Raleigh, North Carolina, 99192, United States"
1011,Matrix Group,"$500,000 - $1 mil.",7,Memphis,Tennessee,United States,Retail,www.matrixgroup.com,(679) 741-5119,2005,"288 Main St, Memphis, Tennessee, 99353, United States"
1012,Maximize Enterprises,$10 mil. - $25 mil.,184,Detroit,Michigan,United States,Finance,www.maximizeenterprises.com,(500) 645-3591,1999,"153 Business Blvd, Detroit, Michigan, 75612, United States"
1013,Alpha Services,"$500,000 - $1 mil.",5,Bakersfield,California,United States,Real Estate,www.alphaservices.com,(823) 403-3504,1993,"2746 Tech Way, Bakersfield, California, 79514, United States"
1014,Acme Group,$25 mil. - $50 mil.,175,Los Angeles,California,United States,Finance,www.acmegroup.com,(571) 514-4923,1973,"4046 Tech Way, Los Angeles, California, 20322, United States"
1015,Dynamic Associates,$100 mil. - $250 mil.,270,Henderson,Nevada,United States,Real Estate,www.dynamicassociates.com,(984) 328-3103,2012,"7887 Tech Way, Henderson, Nevada, 31643, United States"
1016,Pinnacle Services,$500 mil. - $1 bil.,2733,Columbus,Ohio,United States,Agriculture,www.pinnacleservices.com,(752) 973-4295,2015,"5207 Corporate Dr, Columbus, Ohio, 98039, United States"
1017,Phoenix Technologies,$250 mil. - $500 mil.,1424,San Diego,California,United States,Manufacturing,www.phoenixtechnologies.com,(430) 265-6539,1971,"9738 Tech Way, San Diego, California, 40161, United States"
1018,Apex Inc,"$500,000 - $1 mil.",1,Charlotte,North Carolina,United States,Finance,www.apexinc.com,(232) 538-2160,2002,"3999 Business Blvd, Charlotte, North Carolina, 97684, United States"
1019,Revolution Ltd,$250 mil. - $500 mil.,770,Riverside,California,United States,Agriculture,www.revolutionltd.com,(784) 790-8744,1985,"7849 Corporate Dr, Riverside, California, 34957, United States"
